ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
12697534,JF240407,05/13/2022 08:30:00 AM,035XX W ARMITAGE AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,False,True,1413,14.0,26.0,22.0,14,1152830.0,1913069.0,2022,01/03/2023 03:40:27 PM,41.917317112,-87.713929467,"(41.917317112, -87.713929467)"
12833706,JF404233,09/20/2022 07:46:00 PM,013XX S SPRINGFIELD AVE,2026,NARCOTICS,POSSESS - PCP,SIDEWALK,True,False,1011,10.0,24.0,29.0,18,1150591.0,1893594.0,2022,01/03/2023 03:40:27 PM,41.863919757,-87.722664867,"(41.863919757, -87.722664867)"
12854675,JF428811,10/07/2022 12:00:00 PM,034XX S DR MARTIN LUTHER KING JR DR,031A,ROBBERY,ARMED - HANDGUN,SIDEWALK,False,False,211,2.0,4.0,35.0,03,1179474.0,1882273.0,2022,01/03/2023 03:40:27 PM,41.832241469,-87.616984125,"(41.832241469, -87.616984125)"
12664345,JF200128,04/07/2022 09:00:00 AM,067XX S COTTAGE GROVE AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,GAS STATION,False,False,321,3.0,20.0,42.0,14,1182717.0,1860597.0,2022,01/03/2023 03:40:27 PM,41.77268594,-87.605758495,"(41.77268594, -87.605758495)"
12587233,JF106621,01/07/2022 01:20:00 PM,057XX S ROCKWELL ST,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,False,False,824,8.0,16.0,63.0,26,1160018.0,1866547.0,2022,01/03/2023 03:40:27 PM,41.789510395,-87.688803548,"(41.789510395, -87.688803548)"
12854190,JF428473,10/09/2022 11:30:00 PM,021XX S MAY ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,1235,12.0,25.0,31.0,08B,1169129.0,1889917.0,2022,01/03/2023 03:40:27 PM,41.853447754,-87.654719515,"(41.853447754, -87.654719515)"
12595071,JF115808,01/17/2022 04:32:00 PM,052XX W JACKSON BLVD,0560,ASSAULT,SIMPLE,STREET,False,False,1522,15.0,29.0,25.0,08A,1141585.0,1898171.0,2022,01/03/2023 03:40:27 PM,41.876650677,-87.755612803,"(41.876650677, -87.755612803)"
12734470,JF285315,06/18/2022 11:21:00 PM,058XX N MAPLEWOOD AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,2011,20.0,40.0,2.0,08B,1158275.0,1938667.0,2022,01/03/2023 03:40:27 PM,41.987449897,-87.693221962,"(41.987449897, -87.693221962)"
12930990,JF520437,12/22/2022 08:00:00 PM,0000X E 104TH ST,0810,THEFT,OVER $500,RESIDENCE,False,False,512,5.0,9.0,49.0,06,1178751.0,1836036.0,2022,01/03/2023 03:40:27 PM,41.705378742,-87.621041839,"(41.705378742, -87.621041839)"
12775587,JF335009,07/24/2022 04:30:00 AM,073XX S HONORE ST,0820,THEFT,$500 AND UNDER,STREET,False,False,735,7.0,17.0,67.0,06,1165289.0,1856045.0,2022,01/03/2023 03:40:27 PM,41.760581463,-87.669773488,"(41.760581463, -87.669773488)"
12714048,JF260600,05/29/2022 11:44:00 PM,071XX S INGLESIDE AVE,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,STREET,True,False,324,3.0,5.0,69.0,15,1183799.0,1857796.0,2022,01/03/2023 03:40:27 PM,41.764974542,-87.601879542,"(41.764974542, -87.601879542)"
12788748,JF350388,08/09/2022 02:08:00 PM,088XX S BURLEY AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,424,4.0,10.0,46.0,08B,1199204.0,1846980.0,2022,01/03/2023 03:40:27 PM,41.734921347,-87.545779803,"(41.734921347, -87.545779803)"
12769724,JF328010,07/22/2022 10:46:00 PM,082XX S JEFFERY BLVD,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,STREET,True,False,414,4.0,8.0,46.0,15,1190953.0,1850848.0,2022,01/03/2023 03:40:27 PM,41.745738706,-87.57588269,"(41.745738706, -87.57588269)"
12765644,JF323184,07/18/2022 11:00:00 PM,114XX S INDIANA AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,531,5.0,9.0,49.0,14,1179612.0,1829232.0,2022,01/03/2023 03:40:27 PM,41.686688029,-87.618095863,"(41.686688029, -87.618095863)"
12635748,JF165396,03/05/2022 12:22:00 AM,027XX N DAYTON ST,0460,BATTERY,SIMPLE,APARTMENT,False,False,1935,19.0,43.0,7.0,08B,1170141.0,1918328.0,2022,01/03/2023 03:40:27 PM,41.931387369,-87.650174877,"(41.931387369, -87.650174877)"
12925196,JF513384,12/16/2022 07:26:00 PM,051XX S COTTAGE GROVE AVE,2820,OTHER OFFENSE,TELEPHONE THREAT,STREET,False,True,233,2.0,4.0,40.0,08A,1182451.0,1871318.0,2022,01/03/2023 03:40:27 PM,41.802111489,-87.606401292,"(41.802111489, -87.606401292)"
12821688,JF389364,09/09/2022 12:45:00 PM,002XX E ERIE ST,1210,DECEPTIVE PRACTICE,THEFT OF LABOR / SERVICES,PARKING LOT / GARAGE (NON RESIDENTIAL),False,False,1834,18.0,42.0,8.0,11,1178083.0,1904831.0,2022,01/03/2023 03:40:27 PM,41.894173733,-87.621401474,"(41.894173733, -87.621401474)"
12604873,JF128169,01/29/2022 07:00:00 PM,042XX N MARINE DR,2820,OTHER OFFENSE,TELEPHONE THREAT,APARTMENT,False,False,1915,19.0,46.0,3.0,08A,1170986.0,1928779.0,2022,01/03/2023 03:40:27 PM,41.960046783,-87.646762046,"(41.960046783, -87.646762046)"
12819389,JF386463,09/07/2022 09:45:00 AM,110XX S PARNELL AVE,0560,ASSAULT,SIMPLE,RESIDENCE,False,False,2233,22.0,34.0,49.0,08A,1174597.0,1831780.0,2022,01/03/2023 03:40:27 PM,41.693792924,-87.636379425,"(41.693792924, -87.636379425)"
12773594,JF332319,07/19/2022 05:00:00 PM,004XX W BELMONT AVE,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,False,False,1925,19.0,44.0,6.0,05,1172521.0,1921519.0,2022,01/03/2023 03:40:27 PM,41.940091226,-87.641334221,"(41.940091226, -87.641334221)"
12706136,JF250856,05/21/2022 04:45:00 PM,004XX E 63RD ST,0320,ROBBERY,STRONG ARM - NO WEAPON,CTA TRAIN,True,False,313,3.0,20.0,42.0,03,1180086.0,1863329.0,2022,01/03/2023 03:40:27 PM,41.780243493,-87.615319321,"(41.780243493, -87.615319321)"
12892277,JF473921,11/13/2022 06:00:00 PM,048XX N MAJOR AVE,0810,THEFT,OVER $500,STREET,False,False,1622,16.0,45.0,15.0,06,1137400.0,1931448.0,2022,01/03/2023 03:40:27 PM,41.968042794,-87.770176631,"(41.968042794, -87.770176631)"
12832965,JF403120,09/20/2022 01:48:00 AM,028XX E 80TH ST,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,APARTMENT,False,False,422,4.0,7.0,46.0,26,1196370.0,1852468.0,2022,01/03/2023 03:40:27 PM,41.750051545,-87.555980532,"(41.750051545, -87.555980532)"
13153674,JG356513,10/01/2022 06:00:00 PM,004XX E ILLINOIS ST,0460,BATTERY,SIMPLE,APARTMENT,False,False,1834,18.0,42.0,8.0,08B,,,2022,07/26/2023 03:41:15 PM,,,
12803769,JF368207,08/24/2022 12:00:00 AM,017XX E 69TH ST,1320,CRIMINAL DAMAGE,TO VEHICLE,APARTMENT,False,False,332,3.0,5.0,43.0,14,1189179.0,1859580.0,2022,01/03/2023 03:40:27 PM,41.769742752,-87.582103467,"(41.769742752, -87.582103467)"
12707125,JF252166,05/22/2022 10:50:00 PM,063XX S CICERO AVE,1130,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,RESTAURANT,False,False,813,8.0,13.0,64.0,11,1145465.0,1862191.0,2022,01/03/2023 03:40:27 PM,41.777843802,-87.742275381,"(41.777843802, -87.742275381)"
12881385,JF460784,11/03/2022 02:15:00 PM,0000X W TERMINAL ST,1478,CONCEALED CARRY LICENSE VIOLATION,PROHIBITED PLACES,AIRPORT TERMINAL UPPER LEVEL - SECURE AREA,True,False,1651,16.0,41.0,76.0,15,1100317.0,1935229.0,2022,01/03/2023 03:40:27 PM,41.979006297,-87.906463155,"(41.979006297, -87.906463155)"
12857637,JF432476,10/12/2022 10:06:00 PM,066XX S BISHOP ST,0630,BURGLARY,ATTEMPT FORCIBLE ENTRY,RESIDENCE,False,False,725,7.0,16.0,67.0,05,1167811.0,1860643.0,2022,01/03/2023 03:40:27 PM,41.773145219,-87.660398402,"(41.773145219, -87.660398402)"
12879948,JF459265,10/30/2022 05:00:00 PM,028XX N LAKE SHORE DR,0810,THEFT,OVER $500,STREET,False,False,1934,19.0,44.0,6.0,06,1173877.0,1919268.0,2022,01/03/2023 03:40:27 PM,41.933884257,-87.636417787,"(41.933884257, -87.636417787)"
12749670,JF303688,07/03/2022 09:00:00 AM,101XX S CRANDON AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,True,431,4.0,7.0,51.0,08B,1193498.0,1838219.0,2022,01/03/2023 03:40:27 PM,41.711021708,-87.566969484,"(41.711021708, -87.566969484)"
12783723,JF344458,06/05/2022 08:30:00 PM,061XX S WOLCOTT AVE,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,APARTMENT,False,False,714,7.0,15.0,67.0,26,1164739.0,1864016.0,2022,01/03/2023 03:40:27 PM,41.782466584,-87.671564477,"(41.782466584, -87.671564477)"
12701665,JF245966,05/17/2022 05:35:00 PM,068XX N SHERIDAN RD,0460,BATTERY,SIMPLE,RESIDENCE - PORCH / HALLWAY,False,False,2431,24.0,49.0,1.0,08B,1166971.0,1945494.0,2022,01/03/2023 03:40:27 PM,42.006000524,-87.661040637,"(42.006000524, -87.661040637)"
12734022,JF284797,06/18/2022 11:00:00 AM,007XX E 84TH ST,0560,ASSAULT,SIMPLE,APARTMENT,False,True,632,6.0,6.0,44.0,08A,1182484.0,1849438.0,2022,01/03/2023 03:40:27 PM,41.742069894,-87.606957985,"(41.742069894, -87.606957985)"
12986810,JG157288,12/18/2022 04:20:00 PM,003XX E 106TH ST,0820,THEFT,$500 AND UNDER,STREET,False,False,512,5.0,9.0,49.0,06,1180622.0,1834758.0,2022,11/15/2023 03:41:31 PM,41.701829067,-87.614229554,"(41.701829067, -87.614229554)"
12623361,JF150955,02/21/2022 12:47:00 AM,083XX S SOUTH CHICAGO AVE,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,PARKING LOT / GARAGE (NON RESIDENTIAL),True,False,412,4.0,8.0,45.0,15,1191174.0,1850200.0,2022,01/03/2023 03:40:27 PM,41.743955194,-87.575093839,"(41.743955194, -87.575093839)"
12706329,JF251251,05/22/2022 06:15:00 AM,020XX N LEAVITT ST,0917,MOTOR VEHICLE THEFT,"CYCLE, SCOOTER, BIKE WITH VIN",STREET,False,False,1432,14.0,32.0,22.0,07,1161358.0,1913906.0,2022,01/03/2023 03:40:27 PM,41.919440608,-87.682574094,"(41.919440608, -87.682574094)"
12918825,JF504898,12/09/2022 09:45:00 PM,018XX W MELROSE ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,1922,19.0,47.0,5.0,14,1163443.0,1921607.0,2022,01/03/2023 03:40:27 PM,41.940528945,-87.674696178,"(41.940528945, -87.674696178)"
12761938,JF318646,07/15/2022 02:00:00 PM,027XX W DIVISION ST,0520,ASSAULT,AGGRAVATED - KNIFE / CUTTING INSTRUMENT,DEPARTMENT STORE,True,False,1423,14.0,26.0,24.0,04A,1158012.0,1907868.0,2022,01/03/2023 03:40:27 PM,41.902940868,-87.695032866,"(41.902940868, -87.695032866)"
12611266,JF136123,02/07/2022 12:30:00 AM,005XX S KEDZIE AVE,0320,ROBBERY,STRONG ARM - NO WEAPON,CTA TRAIN,False,False,1134,11.0,24.0,27.0,03,1155124.0,1897322.0,2022,01/03/2023 03:40:27 PM,41.874060099,-87.705924314,"(41.874060099, -87.705924314)"
12878521,JF457567,11/01/2022 08:15:00 AM,005XX W PEARSON ST,1811,NARCOTICS,POSSESS - CANNABIS 30 GRAMS OR LESS,CHA PARKING LOT / GROUNDS,True,False,1823,18.0,27.0,8.0,18,1172477.0,1905946.0,2022,01/03/2023 03:40:27 PM,41.897359157,-87.64195736,"(41.897359157, -87.64195736)"
12898365,JF481480,11/19/2022 04:05:00 PM,002XX W JACKSON BLVD,0820,THEFT,$500 AND UNDER,RESTAURANT,False,False,122,1.0,42.0,32.0,06,1174629.0,1898950.0,2022,01/03/2023 03:40:27 PM,41.878113871,-87.634262752,"(41.878113871, -87.634262752)"
12654752,JF187889,03/27/2022 04:54:00 AM,036XX W HURON ST,0497,BATTERY,AGGRAVATED DOMESTIC BATTERY - OTHER DANGEROUS WEAPON,APARTMENT,False,True,1112,11.0,27.0,23.0,04B,1151777.0,1904421.0,2022,01/03/2023 03:40:27 PM,41.893606982,-87.718026137,"(41.893606982, -87.718026137)"
12804514,JF369115,08/21/2022 08:30:00 PM,030XX N KENNETH AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,False,False,2523,25.0,31.0,20.0,14,1146182.0,1919930.0,2022,01/03/2023 03:40:27 PM,41.936273507,-87.738179572,"(41.936273507, -87.738179572)"
12870854,JF448503,10/25/2022 10:00:00 AM,069XX S CONSTANCE AVE,0810,THEFT,OVER $500,STREET,False,False,332,3.0,5.0,43.0,06,1189741.0,1859231.0,2022,01/03/2023 03:40:27 PM,41.768771579,-87.58005466,"(41.768771579, -87.58005466)"
12823414,JF391332,09/11/2022 12:36:00 AM,013XX S SAWYER AVE,041A,BATTERY,AGGRAVATED - HANDGUN,APARTMENT,True,False,1022,10.0,24.0,29.0,04B,1154907.0,1893663.0,2022,08/07/2024 03:40:23 PM,41.864023763,-87.70681909,"(41.864023763, -87.70681909)"
12691496,JF231726,05/05/2022 08:30:00 PM,005XX N PINE AVE,0560,ASSAULT,SIMPLE,APARTMENT,False,True,1523,15.0,37.0,25.0,08A,1139435.0,1903131.0,2022,01/03/2023 03:40:27 PM,41.890300993,-87.763386087,"(41.890300993, -87.763386087)"
12643109,JF174944,03/14/2022 12:00:00 PM,019XX S THROOP ST,1320,CRIMINAL DAMAGE,TO VEHICLE,APARTMENT,False,False,1235,12.0,25.0,31.0,14,1168010.0,1890751.0,2022,01/03/2023 03:40:27 PM,41.855760517,-87.658802576,"(41.855760517, -87.658802576)"
12718200,JF265310,06/02/2022 05:35:00 PM,002XX N WELLS ST,0520,ASSAULT,AGGRAVATED - KNIFE / CUTTING INSTRUMENT,STREET,False,False,122,1.0,42.0,32.0,04A,1174682.0,1902218.0,2022,01/03/2023 03:40:27 PM,41.887080274,-87.633970365,"(41.887080274, -87.633970365)"
